Model,RMSE,MAE,R2,Smoothness
baseline,0.18477296153294617,0.11829006107207711,0.8186721936903522,0.31020886
attention,0.18870261530877777,0.09644900453662966,0.8108774100835608,0.3643731
bilstm,0.21303174332639657,0.1693842090104293,0.7589671639152873,0.22514503
bilstm_pg,0.18643133692322036,0.13351430187884028,0.8154026781267809,0.27647558
bilstm_pg_mc,0.1871991246797663,0.1362673075353968,0.8138790779059115,0.27227256
